Name,Soundex,Frequency
Arnot,A653,1
Arnott,A653,2
Arrand,A653,1
Arrindel,A653,1
Arrowsmith,A625,2
Arscott,A623,4
Arslett,A624,1
Arson,A625,1
Arstall,A623,1
Arthur,A636,13
Arthurs,A636,2
Artinstall,A635,1
Arton,A635,1
Arundale,A653,1
Arundell,A653,2
Asa,A200,1
Asbey,A210,1
Asbury,A216,2
Ascott,A230,1
Ascough,A220,1
Ascroft,A261,2
Ash,A200,11
Ashall,A240,2
Ashbee,A210,1
Ashbey,A210,2
Ashbolt,A214,1
Ashbrood,A216,1
Ashbrook,A216,1
Ashby,A210,7
Ashcroft,A226,6
Ashdown,A235,1
Ashenhurst,A256,1
Asher,A260,3
Ashey,A200,1
Ashford,A216,4
Ashley,A240,9
Ashlin,A245,1
Ashling,A245,1
Ashman,A255,3
Ashmole,A254,1
Ashmore,A256,3
Ashpole,A214,1
Ashton,A235,29
Ashurst,A262,2
Ashwell,A240,4
Ashworth,A263,30
Askem,A250,1
Askew,A200,6
Askham,A250,1
Askwith,A230,2
Aslatt,A243,1
Aslett,A243,2
Aspden,A213,5
Aspin,A215,3
Aspinal,A215,1
Aspinall,A215,6
Aspinaul,A215,1
Aspinwall,A215,4
Asplin,A214,1
Asprey,A216,3
Aspworth,A216,1
Asquith,A230,2
Asser,A260,1
Assinder,A253,1
Astbury,A231,5
Astell,A234,1
Astin,A235,2
Astle,A234,1
Astley,A234,3
Aston,A235,8
Astridge,A236,1
Astwood,A233,1
Atack,A320,1
Atcheson,A322,1
Atchinson,A325,1
Atchison,A322,1
Atfield,A314,1
Atha,A300,1
Atherfold,A361,1
Atherton,A363,13
Atkin,A325,10
Atkings,A325,1
Atkins,A325,23
Atkinson,A325,58
Atlee,A340,1
Atnicle?,A352,2
Atrill,A364,1
Atterbury,A361,4
Atterby,A361,1
Attewell,A340,1
Attfield,A314,2
Attlebury,A341,1
Attridge,A363,2
Attrill,A364,2
Attryde,A363,1
Attwells,A342,1
Attwood,A330,4
Attwooll,A340,1
Atwell,A340,3
Atwood,A330,2
Aubrey,A160,2
Auckland,A245,1
Audin,A350,1
Audley,A340,3
Audrus,A362,1
Audsley,A324,1
Aufield,A143,1
Augas,A220,1
Auger,A260,1
Aukland,A245,2
Ault,A430,1
Austen,A235,7
Austin,A235,33
Austine,A235,1
Auty,A300,6
Avent,A153,2
Aver,A160,1
Averell,A164,1
Avery,A160,7
Aveyard,A163,1
Avis,A120,4
Awbrey,A160,1
Axford,A216,2
Axon,A250,2
Axtell,A234,1
Axten,A235,1
Axworthy,A263,1
Ayers,A620,5
Aykroyd,A263,1
Ayland,A453,2
Ayles,A420,1
Aylett,A430,2
Ayliffe,A410,1
Ayling,A452,1
Aylmer,A456,1
Aymard,A563,1
Aynscough,A522,1
Ayre,A600,5
Ayres,A620,9
Ayscough,A220,1
Aythorn,A365,1
Ayting,A352,1
Ayton,A350,1
Babb,B100,2
Babbage,B120,1
Baber,B160,2
Babington,B152,2
Bacchus,B220,1
Bache,B200,3
Bachelor,B246,3
Back,B200,3
Backhouse,B220,6
Backhurst,B262,1
Backs,B200,1
Bacon,B250,19
Bacot,B230,1
Badcock,B322,10
Baddeley,B340,4
Badder,B360,1
Baddley,B340,1
Baden,B350,1
Badger,B326,2
Badham,B350,1
Badkin,B325,1
Badly,B340,1
Badmin,B355,1
Bage,B200,1
Bageant,B253,1
Bagg,B200,2
Baggaley,B240,1
Bagge,B200,2
Baggeley,B240,1
Baggott,B230,2
Baggs,B200,3
Bagguley,B240,1
Baghott,B230,1
Bagley,B240,5
Baglin,B245,1
Bagnall,B254,9
Bagnett,B253,1
Bagot,B230,2
Bagshaw,B200,7
Bagshawe,B200,1
Baguley,B240,3
Baigent,B253,4
Bail,B400,2
Baildon,B435,1
Bailes,B420,2
Bailey,B400,84
Baillie,B400,4
Baily,B400,5
Bain,B500,3
Bainbridge,B516,8
Baines,B520,7
Bains,B520,2
Bainton,B535,2
Baird,B630,3
Bairstow,B623,4
Bait---,B300,1
Bake,B200,1
Baker,B260,134
Bakewell,B240,4
Balch,B420,1
Balchan,B425,1
Balchin,B425,1
Balcombe,B425,3
Balderson,B436,2
Balderston,B436,1
Baldock,B432,6
Baldrans,B436,1
Baldrey,B436,1
Baldry,B436,2
Baldwick,B432,1
Baldwin,B435,27
Bale,B400,6
Bales,B420,1
Balkwell,B424,1
Ball,B400,56
Ballam,B450,2
Ballamy,B450,1
Ballard,B463,10
Balle,B400,1
Ballehatchel,B432,1
Ballinger,B452,1
Balls,B420,17
Balme,B450,2
Balmer,B456,4
Balmforth,B451,2
Balsden,B423,1
Balsdon,B423,2
Balson,B425,2
Balster,B423,1
Baly,B400,1
Bamber,B516,4
Bambridge,B516,1
Bambrough,B516,1
Bamford,B516,7
Bamforth,B516,5
Bamkin,B525,2
Bammond,B553,1
Banan,B550,1
Bancroft,B526,9
Bane,B500,1
Banett,B530,1
Banfield,B514,3
Banger,B526,1
Bangham,B525,1
Bangs,B520,2
Banham,B550,6
Banister,B523,3
Banks,B520,20
Bannan,B550,3
Banner,B560,2
Bannester,B523,1
Bannin,B550,1
Bannings,B552,1
Bannister,B523,10
Bantock,B532,2
Banton,B535,1
Banu----,B500,1
Banyan,B550,1
Banyard,B563,1
Bara*wanath,B653,1
Baratt,B630,1
Barber,B616,36
Barbor,B616,1
Barbrur,B616,1
Barclay,B624,5
Bard,B630,1
Bardell,B634,1
Barden,B635,3
Bardill,B634,1
Bardonneau,B635,1
Bardrick,B636,1
Bardsley,B632,3
Barefoot,B613,1
Baren,B650,1
Barfield,B614,2
Barfoot,B613,2
Bargale,B624,1
Barge,B620,3
Bargery,B626,1
Bargh,B620,1
Barham,B650,2
Bark,B620,2
Barke,B620,1
Barker,B626,78
Barkham,B625,1
Barkleon?,B624,1
Barkley,B624,1
Barks,B620,1
Barkway,B620,1
Barkworth,B626,1
Barley,B640,1
Barleycorn,B642,1
Barling,B645,2
Barlow,B640,40
Barltrop,B643,1
Barnaby,B651,1
Barnacle,B652,1
Barnard,B656,16
Barnbrook,B651,1
Barnby,B651,1
Barneby,B651,1
Barneicott,B652,1
Barnes,B652,85
Barnet,B653,3
Barnett,B653,27
Barnfather,B651,3
Barnfield,B651,3
Barningham,B655,1
Barns,B652,9
Barnsdale,B652,1
Barnsdall,B652,1
Barnshaw,B652,1
Barnstein,B652,1
Barnstien,B652,1
Baron,B650,8
Barows?,B620,1
Barr,B600,3
Barrable,B614,1
Barraclough,B624,7
Barrah,B600,2
Barrance,B652,1
Barrans,B652,2
Barras,B620,1
Barrass,B620,1
Barratt,B630,14
Barraud,B630,1
Barrell,B640,7
Barret,B630,3
Barrett,B630,46
Barriball,B614,1
Barrick,B620,2
Barringer,B652,2
Barris,B620,1
Barrisford,B621,1
Barritt,B630,2
Barrocliff,B624,1
Barron,B650,10
Barrons,B652,1
Barrow,B600,14
Barrowclough,B624,3
Barrows,B620,2
Barrs,B620,5
Barry,B600,10
Barsby,B621,2
Barsley,B624,1
Barson,B625,1
Barstow,B623,1
Barter,B636,5
Bartholemew,B634,1
Barthram,B636,1
Barthrom,B636,1
Bartlam,B634,1
Bartle,B634,6
Bartlett,B634,35
Bartley,B634,1
Barton,B635,27
Bartram,B636,3
Bartrom,B636,2
Bartwistle,B632,1
Barwell,B640,1
Barwick,B620,3
Barwise,B620,1
Barwood,B630,1
