Name,Soundex,Frequency
Cowdrill,C364,1
Cowdry,C360,2
Cowel,C400,1
Cowell,C400,12
Cowen,C500,2
Cowgill,C240,1
Cowl,C400,1
Cowland,C453,2
Cowlard,C463,1
Cowle,C400,2
Cowles,C420,2
Cowley,C400,11
Cowlin,C450,1
Cowling,C452,4
Cowlishaw,C420,2
Cowman,C550,2
Cowper,C160,2
Cowpland,C145,1
Cox,C200,94
Coxall,C240,1
Coxen,C250,1
Coxey,C200,1
Coxhead,C230,1
Coxhill,C240,1
Coxon,C250,5
Coxwell,C240,1
Coy,C000,3
Coyle,C400,3
Coyne,C500,3
Cozens,C252,4
Crabb,C610,8
Crabtree,C613,15
Crack,C620,1
Cracken,C625,1
Crackle,C624,1
Cracknell,C625,5
Craddock,C632,4
Cradick,C632,1
Craft,C613,2
Crafter,C613,1
Crafts,C613,1
Crager,C626,1
Cragg,C620,9
Craggs,C620,2
Craghill,C624,1
Crago,C620,2
Craift,C613,1
Craig,C620,12
Craighill,C624,1
Crain,C650,2
Crake,C620,2
Cramp,C651,1
Crampin,C651,1
Crampton,C651,2
Cran,C650,1
Cranage,C652,1
Cranch,C652,1
Crandley,C653,1
Crane,C650,12
Cranfield,C651,1
Crankshaw,C652,2
Cranly,C654,1
Cranmer,C656,1
Cranston,C652,3
Cranstone,C652,4
Crapp,C610,1
Crarey,C660,1
Crase,C620,1
Crask,C620,1
Crasswell,C624,1
Crate,C630,2
Crates,C632,1
Crathorn,C636,1
Craven,C615,13
Crawford,C616,8
Crawley,C640,14
Crawshaw,C620,4
Craxton,C623,1
Cray,C600,2
Crayston,C623,1
Craze,C620,1
Creacall,C624,1
Creak,C620,1
Crealock?,C642,1
Creaser,C626,4
Creasy,C620,1
Crebo,C610,1
Cree,C600,1
Creech,C620,1
Creed,C630,3
Creese,C620,1
Creig,C620,1
Creigh,C620,1
Creighton,C623,1
Cressey,C620,1
Cresswell,C624,7
Cresswick,C622,1
Crew,C600,4
Crews,C620,1
Cribb,C610,3
Crichton,C623,1
Crick,C620,2
Crickett,C623,1
Crickmay,C625,1
Crickmere,C625,1
Cridland,C634,1
Crinks,C652,1
Cripps,C612,8
Crips,C612,1
Crisp,C621,5
Crispe,C621,1
Crispin,C621,1
Critchley,C632,7
Critchlow,C632,1
Croade,C630,1
Croak,C620,1
Croake,C620,1
Croanparkin,C651,1
Crocker,C626,4
Crockett,C623,2
Crockford,C621,3
Crockwell,C624,1
Croft,C613,11
Crofton,C613,1
Crofts,C613,8
Croker,C626,6
Cromack,C652,1
Crombleholm,C651,2
Crompton,C651,14
Cronan,C655,2
Cronin,C655,3
Cronkshaw,C652,2
Cronshaw,C652,3
Crook,C620,18
Crookes,C622,5
Crooks,C620,5
Croom,C650,2
Croome,C650,2
Croot,C630,3
Croote,C630,1
Crop,C610,1
Cropley,C614,1
Cropman,C615,1
Cropp,C610,2
Cropper,C616,3
Crosbie,C621,1
Crosby,C621,10
Croshaw,C620,1
Crosland,C624,5
Cross,C620,44
Crossbray,C621,1
Crosse,C620,1
Crossfield,C621,1
Crossin,C625,1
Crossland,C624,2
Crossley,C624,15
Crossman,C625,4
Crosthwaite,C623,5
Croston,C623,1
Crostwait,C623,1
Crothers,C636,1
Crouch,C620,14
Croucher,C626,7
Crouchley,C624,2
Crouchman,C625,2
Crow,C600,7
Crowe,C600,5
Crowen,C650,1
Crowfoot,C613,1
Crowgey,C620,1
Crowhurst,C662,2
Crowl,C640,1
Crowley,C640,6
Crowshaw,C620,1
Crowsley,C624,1
Crowson,C625,3
Crowther,C636,25
Croxford,C621,3
Croxon,C625,1
Croxson,C625,1
Croxton,C623,2
Crozier,C626,4
Cruddas,C632,1
Cruddass,C632,1
Crudge,C632,1
Cruikshank,C625,1
Cruise,C620,1
Crumbie,C651,1
Crummy,C650,1
Crump,C651,3
Crumpler,C651,2
Crumplin,C651,1
Crundell,C653,1
Cruse,C620,3
Crutchley,C632,1
Crutchlow,C632,1
Cruttenden,C635,1
Cruwys,C620,1
Cryer,C660,7
Cubbin,C150,1
Cubitt,C130,3
Cuckoo,C200,1
Cuckson,C250,1
Cudd,C300,1
Cuddeford,C316,1
Cudmore,C356,1
Cudworth,C363,1
Cuff,C100,1
Culham,C450,1
Cull,C400,2
Cullen,C450,6
Culley,C400,6
Culliford,C416,1
Cullimore,C456,2
Cullin,C450,1
Culling,C452,1
Cullingford,C452,2
Cullingworth,C452,2
Cullion,C450,1
Cullip,C410,1
Cullis,C420,4
Culpan,C415,1
Culpin,C415,1
Culshaw,C420,3
Culton,C435,1
Culver,C416,4
Culverson,C416,1
Culverwell,C416,1
Cumber,C516,1
Cumberbatch,C516,2
Cumbers,C516,1
Cumberworth,C516,1
Cummin,C550,2
Cumming,C552,6
Cummings,C552,6
Cummins,C552,9
Cumstive,C523,1
Cundall,C534,3
Cundell,C534,1
Cunden,C535,1
Cunduit,C533,2
Cundy,C530,1
Cunliffe,C541,7
Cunniffe,C510,1
Cunningham,C552,6
Cunninghame,C552,9
Cunnington,C552,1
Cunnold,C543,1
Cuoe,C000,1
Cupit,C130,1
Curbiss,C612,1
Curchin,C625,1
Curd,C630,3
Curds,C632,1
Cureden,C635,1
Curgenven?,C625,1
Curl,C640,1
Curle,C640,1
Curley,C640,1
Curling,C645,1
Curnock,C652,1
Curnow,C650,4
Curr,C600,2
Currah,C600,1
Curran,C650,2
Currell,C640,2
Curren,C650,3
Currey,C600,1
Currie,C600,2
Currigan,C625,1
Curron,C650,1
Curry,C600,7
Curtis,C632,37
Curtler,C634,1
Curwen,C650,1
Curzons,C625,1
Cushion,C250,2
Cuss,C200,2
Cussall,C240,1
Cussons,C252,1
Custance,C235,1
Cusworth,C263,1
Cutburt,C316,1
Cutbush,C312,1
Cuthbert,C316,8
Cutler,C346,8
Cutmore,C356,1
Cutter,C360,3
Cutteris,C362,1
Cutting,C352,5
Cuttle,C340,2
Cuttress,C362,1
Cuttriss,C362,1
Cuvillier,C146,1
Cuzner,C256,1
Cypher,C160,1
Cyples,C142,1
D'Almaine,D455,1
D'Arcy,D620,1
D'Ebro,D160,1
D'ogly,D240,1
D'Oyley,D400,2
Dabbs,D120,5
Dabell,D140,2
Dabinett,D153,2
Dacey,D200,4
Dack,D200,2
Dadd,D300,1
Daddow,D300,1
Dade,D300,3
Dadswell,D324,2
Dady,D300,2
Daffain,D150,1
Daffaion,D150,1
Daffein,D150,2
Daft,D130,3
Dagg,D200,2
Dagleish,D242,1
Dagless,D242,1
Dagley,D240,3
Dagment,D255,1
Dagnall,D254,2
Dagnan,D255,1
Dagwell,D240,2
Dagworthy,D263,1
Dahle,D400,1
Daines,D520,4
Dainton,D535,1
Dainty,D530,4
Dakers,D262,1
Dakin,D250,7
Dalby,D410,9
Daldy,D430,2
Dale,D400,27
Daler,D460,1
Dales,D420,2
Daley,D400,4
Dalglish,D424,1
Dalkin,D425,2
Dall,D400,1
Dallen,D450,1
Dalley,D400,5
Dallimore,D456,1
Dallin,D450,1
Dalling,D452,1
Dallison,D425,1
Dallow,D400,1
Dally,D400,2
Dalrymple,D465,1
Dalton,D435,12
Dalwood,D430,1
Daly,D400,9
Dalzell,D424,1
Damafin,D515,1
Damarel,D564,1
Damarell,D564,1
Damms,D520,1
Damper,D516,1
Danby,D510,2
Dance,D520,2
Dancer,D526,2
Dancey,D520,1
Dand,D530,2
Dando,D530,3
Dandy,D530,2
Danes,D520,1
Danford,D516,1
Dangerfield,D526,1
Daniel,D540,21
Daniell,D540,2
Daniels,D542,17
Danks,D520,3
Dann,D500,4
Dannant,D553,2
Dannatt,D530,1
Dannett,D530,1
Danniel,D540,1
Dansie,D520,1
Danson,D525,3
Danton,D535,1
Daphne,D150,1
Darall,D640,1
Darbey,D610,2
Darbishire,D612,1
Darby,D610,8
Darbyshire,D612,2
Dare,D600,1
Darke,D620,3
Darker,D626,1
Darkin,D625,1
Darley,D640,4
Darling,D645,4
Darlington,D645,3
Darlow,D640,3
Darnel,D654,3
Darnell,D654,7
Darnely,D654,1
Darrall,D640,1
Darrell,D640,1
Darricot,D623,1
Dart,D630,6
Darton,D635,1
Darvell,D614,1
Darven,D615,1
Darvile,D614,1
Darvill,D614,4
Darwent,D653,2
Darwin,D650,1
Dascombe,D251,1
Date,D300,1
Daubner,D156,1
Daubney,D150,3
Dauncey,D520,1
Dausday,D230,1
Davall,D140,2
Davenport,D151,21
Daves,D120,1
Davey,D100,26
David,D130,13
Davidson,D132,11
Davies,D120,366
Davis,D120,138
Davison,D125,25
Daviss,D120,1
Davlin,D145,1
Davy,D100,18
Davys,D120,1
Daw,D000,2
Dawber,D160,2
Dawburn,D165,1
Dawe,D000,11
Dawes,D200,10
Dawkins,D252,5
Dawn,D500,2
Daws,D200,2
Dawson,D250,74
Dawton,D350,1
Daxon,D250,1
Day,D000,58
Daybell,D140,1
Daykin,D250,2
Dayment,D553,1
Daymond,D553,1
Dayns,D520,2
Dazer,D260,1
De Bock,D120,1
De Carne,D265,1
De Caussin,D225,1
De Ferrieres,D166,1
De La Fare,D416,1
De La Joncher,D425,1
De La Nole,D454,1
De Lara,D460,1
De le More,D456,1
De Montreaill,D553,1
De Rabenau,D615,1
Deabill,D140,1
Deacle,D240,1
Deacon,D250,10
Deadman,D355,3
Deadmon,D355,1
Deaker,D260,1
Deakin,D250,4
Deal,D400,4
Dean,D500,51
Deana,D500,1
Deane,D500,5
Deans,D520,2
Dear,D600,4
Dearden,D635,3
Dearing,D652,1
Dearlove,D641,1
Dearman,D655,1
Dearsley,D624,2
Deary,D600,1
Death,D300,3
Deaville,D140,1
Debenham,D155,1
Debtford,D131,1
Debues,D120,1
Dedman,D355,3
Deeks,D200,3
Deeley,D400,2
Deely,D400,1
Deeming,D552,5
Deering,D652,1
Defratus,D163,1
Defreadus,D163,1
Defries,D162,1
Degge,D200,1
Deham,D500,1
Deighton,D235,7
Delaforce,D416,1
Delahunty,D453,1
Delaney,D450,1
Delany,D450,4
Delbauvre,D411,1
Dell,D400,4
Dellamore,D456,1
Dellany,D450,1
Dellar,D460,2
Deller,D460,1
Dellow,D400,2
Delmonte,D455,1
Delve,D410,1
Delves,D412,3
Demaine,D550,1
Demeza,D520,1
Demmead,D530,1
Dempsey,D512,2
Denayne,D550,1
Denbigh,D512,1
Denby,D510,4
Denchfield,D521,1
Denely,D540,1
Deney,D500,1
Dengate,D523,1
Denham,D550,3
Denison,D525,4
Denley,D540,2
Denman,D550,1
Denmark,D562,1
Denmead,D530,2
Denn,D500,1
Dennan,D550,1
Denne,D500,2
Denner,D560,1
Dennett,D530,1
Denney,D500,1
Denning,D552,1
Dennington,D552,4
Dennis,D520,13
Dennison,D525,7
Denny,D500,9
Denovan,D515,1
Densley,D524,1
Denson,D525,1
Denston,D523,1
Dent,D530,15
Dentery,D536,1
Dentith,D533,1
Denton,D535,11
Dentry,D536,1
Denty,D530,1
Denyer,D560,2
Depass,D120,1
Derbyshire,D612,5
Derington,D652,1
Derome,D650,1
Derrett,D630,1
Derrick,D620,2
Derry,D600,2
Dervin,D615,1
Desborough,D216,2
Deshayes,D220,1
Despeard,D216,1
Detberry,D316,1
Detheridge,D363,1
Deuham,D500,1
Deuxberry,D216,1
Devanny,D150,2
Devening,D155,1
Devereux,D162,2
Deverson,D162,1
Deville,D140,2
Devilliers,D146,1
Devine,D150,5
Devis,D120,1
Devit,D130,1
Devitry,D136,1
Devitt,D130,1
Devlin,D145,1
Devonshire,D152,1
Devoy,D100,1
Dew,D000,5
Dewar,D600,1
Dewberlilly,D164,1
Dewberry,D160,2
Dewe,D000,1
Dewey,D000,5
Dewherst,D623,1
Dewhirst,D623,5
Dewhurst,D623,7
Dewick,D200,1
Dewrance,D652,1
Dewsnap,D251,1
Dewson,D250,1
Dexter,D236,4
Deyns,D520,1
Dezille,D240,1
Dhoerty,D630,1
Di‚e,D000,1
Diamond,D553,1
Diaper,D160,1
Dibb,D100,1
Dibble,D140,1
Dibbs,D120,1
Dible,D140,1
Dibley,D140,1
Dicas,D220,1
Dick,D200,3
Dickason,D225,1
Dickens,D252,2
Dickenson,D252,8
Dicker,D260,2
Dickerson,D262,6
Dickeson,D225,1
Dickin,D250,1
Dickins,D252,3
Dickinson,D252,25
Dickman,D255,1
Dicks,D200,2
Dickson,D250,8
Didcock,D322,1
Diddams,D352,1
Didham,D350,1
Dieppe,D100,1
Digby,D210,3
Digges,D220,1
Diggins,D252,1
Diggle,D240,2
Digney,D250,1
Dike,D200,2
Dilks,D420,2
Dillan,D450,1
Dilley,D400,1
Dilling,D452,1
Dillnutt,D453,1
Dillon,D450,3
Dilloway,D400,1
Dilly,D400,1
Dilnutt,D453,1
Dilworth,D463,1
Diment,D553,1
Dimmack,D520,1
Dimmer,D560,1
Dimmey,D500,1
Dimmock,D520,9
Dimmocks,D520,1
Dimon,D550,1
Dimond,D553,4
Dine,D500,1
Dinen,D550,1
Dines,D520,1
Dingle,D524,2
Dingley,D524,6
Dingnan,D525,1
Dinham,D550,1
Dinnis,D520,1
Dinns,D520,1
Dinsdale,D523,3
Dinsey,D520,1
Dinsley,D524,1
Dinwoodie,D530,1
Diplock,D142,1
Dipple,D140,1
Disdale,D234,1
Disney,D250,2
Dispane,D215,1
Diss,D200,1
Distin,D235,1
Ditch,D320,1
Ditchburn,D321,3
Ditcher,D326,1
Ditchett,D323,1
Ditchfield,D321,3
Divall,D140,1
Divanny,D150,1
Diver,D160,1
Dives,D120,1
Divine,D150,1
Dix,D200,4
Dixon,D250,89
Dlans?,D452,1
Doach,D200,1
Dobbins,D152,1
Dobbs,D120,4
Dobby,D100,2
Dobbyn,D150,1
Dobell,D140,3
Dobeson,D125,1
Dobinson,D152,2
Doble,D140,2
Dobree,D160,3
Dobru,D160,1
Dobson,D125,29
Dockerill,D264,3
Dockery,D260,1
Dockett,D230,1
Docking,D252,1
Dockrall,D264,1
Dockrill,D264,1
Dockwray,D260,1
Dod,D300,2
Dodd,D300,32
Dodding,D352,1
Dodds,D320,8
Doddsworth,D326,1
Doddy,D300,1
Dodge,D320,3
Dodgson,D325,4
Dodman,D355,1
Dodson,D325,2
Dodsworth,D326,5
Doe,D000,7
Doeg,D200,1
Doeman,D550,1
Doggett,D230,3
Dogherty,D263,1
Doherty,D630,8
Dohoo,D000,1
Doidge,D320,2
Dolan,D450,1
Dolbear,D416,1
Dolbey,D410,1
Dolby,D410,3
Doller,D460,2
Dollery,D460,1
Dolley,D400,3
Dolling,D452,3
Dolloway,D400,1
Dolman,D455,1
Dolphin,D415,3
Dolton,D435,3
Dolvin,D415,1
Doman,D550,1
Domble,D514,1
Dominey,D550,1
Dommet,D530,1
Donahue,D500,1
Donald,D543,2
Donaldson,D543,6
Donbiggin,D512,1
Doncaster,D522,2
Done,D500,3
Donegan,D525,1
Donegans,D525,1
Donelly,D540,1
Doney,D500,1
Donily,D540,1
Donkin,D525,1
Donlin,D545,1
Donn,D500,1
Donnavan,D515,1
Donnelly,D540,2
Donnely,D540,1
Donner,D560,1
Donnison,D525,3
Donnolly,D540,1
Donnovan,D515,1
Donoghue,D520,1
Donotho,D530,1
Donougha,D520,1
Donougho,D520,1
Donoughue,D520,1
Donovan,D515,12
Donson,D525,1
Dony,D500,1
Doodd,D300,1
Doodson,D325,2
Doogin,D250,1
Dooglas,D242,1
Doolan,D450,1
Dooley,D400,3
Dooner,D560,1
Doore,D600,1
Doorey,D600,1
Dootson,D325,1
Doran,D650,2
Dorant,D653,1
Dorbon,D615,1
Dore,D600,5
Dorees,D620,1
Doren,D650,2
Dorety,D630,1
Dorington,D652,2
Dorkin,D625,1
Dorking,D625,1
Dorks,D620,1
Dorling,D645,1
Dormer,D656,1
Dorney,D650,1
Dorr,D600,1
Dorrington,D652,3
Dorry,D600,1
Dorset,D623,1
Dorsett,D623,1
Dotterill,D364,1
Double,D140,2
Doubleday,D143,2
Doubt,D130,1
Douell,D400,1
Doughearty,D263,1
Dougher,D260,1
Dougherty,D263,2
Doughton,D235,1
Doughty,D230,9
Douglas,D242,14
Douglass,D242,3
Douse,D200,1
Douthwaite,D330,2
Dove,D100,7
Dovey,D100,2
Dow,D000,1
Doward,D630,1
Dowbiggin,D125,1
Dowd,D300,1
Dowdall,D340,1
Dowden,D350,2
Dowdeswell,D324,2
Dowding,D352,3
Dowdney,D350,1
Dowell,D400,3
Dower,D600,1
Dowling,D452,8
Down,D500,5
Downe,D500,1
Downer,D560,3
Downes,D520,13
Downey,D500,4
Downie,D500,1
Downing,D552,10
Downs,D520,10
Downton,D535,1
Downward,D563,2
Dows,D200,1
Dowse,D200,1
Dowsett,D230,4
Dowsing,D252,4
Dowsland,D245,1
Dowson,D250,7
Dowthwaite,D330,2
Doxford,D216,1
Doy,D000,1
Doyle,D400,6
Drabble,D614,1
Dracup,D621,2
Dradge,D632,1
Draffen,D615,1
Drage,D620,3
Draisey,D620,1
Drake,D620,10
Drakeford,D621,1
Drakeley,D624,1
Drakes,D622,2
Drakup,D621,1
Drane,D650,1
Dranfield,D651,1
Dransfield,D652,3
Draper,D616,19
Drawwater,D636,1
Dray,D600,2
Draycott,D623,2
Drayner,D656,2
Drayson,D625,1
Drayton,D635,2
Dredge,D632,3
Dreg,D620,1
Drennan,D655,1
Dresden,D623,1
Drew,D600,17
Drewett,D630,1
Drewry,D660,2
Driffill,D614,2
Drifty,D613,1
Dring,D652,1
Drinkall,D652,3
Drinkwater,D652,8
Driscoll,D624,4
Driscow,D620,1
Driver,D616,11
Drousfield,D621,1
Drozier,D626,1
Druce,D620,2
Druggan,D625,1
Drummond,D655,3
Drury,D660,12
Dry,D600,1
Dryden,D635,2
Drysdale,D623,2
Du Sauvsig?,D212,1
Dubbins,D152,1
Ducey,D200,1
Duck,D200,1
Ducker,D260,1
Duckers,D262,2
Duckett,D230,3
Duckham,D250,2
Duckitt,D230,1
Duckles,D242,1
Duckwell,D240,1
Duckworth,D263,18
Dudbridge,D316,1
Dudden,D350,1
Dudderidge,D363,1
Duddington,D352,1
Dudley,D340,8
Dudlick,D342,1
Dudman,D355,1
Dudson,D325,1
Duell,D400,1
Duerden,D635,3
Duff,D100,3
Duffeild,D143,1
Duffell,D140,2
Duffett,D130,1
Duffield,D143,7
Duffill,D140,1
Duffy,D100,8
Duflon,D145,1
Dufton,D135,1
Dufty,D130,1
Dugan,D250,2
Dugdale,D234,5
Dugdill,D234,1
Duggan,D250,4
Duggin,D250,2
Duggins,D252,1
Duglass,D242,1
Dugmore,D256,2
Duhamel,D540,1
Duke,D200,10
Dukes,D220,2
Duley,D400,1
Dullforce,D416,2
Dulson,D425,2
Duly,D400,1
Dum,D500,1
Dumars,D562,1
Dumbell,D514,2
Dumbelton,D514,1
Dumble,D514,1
Dumbleton,D514,1
Dumbrill,D516,1
Dummer,D560,2
Dummett,D530,1
Dumolo,D540,1
Dumont,D553,1
Dumville,D514,1
Dunbar,D516,3
Dunbavand,D511,1
Dunbill,D514,1
Duncan,D525,9
Duncauley,D524,1
Dunckley,D524,1
Duncombe,D525,1
Dunderdale,D536,1
Dunford,D516,7
Dungate,D523,2
Dungey,D520,1
Dunglison,D524,1
Dungworth,D526,1
Dunham,D550,4
Dunk,D520,3
Dunkelly,D524,1
Dunken,D525,1
Dunkinson,D525,1
Dunkley,D524,1
Dunklur,D524,1
Dunlevay,D541,1
Dunlevy,D541,1
Dunlop,D541,2
Dunmaid,D530,1
Dunmall,D540,1
Dunmore,D560,2
Dunn,D500,49
Dunne,D500,1
Dunnett,D530,1
Dunnill,D540,1
Dunning,D552,3
Dunnings,D552,2
Dunsby,D521,3
Dunsdon,D523,1
Dunsford,D521,2
Dunstar,D523,1
Dunster,D523,1
Dunston,D523,2
Dunstone,D523,1
Dunt,D530,1
Dunthorne,D536,1
Dunwell,D540,1
Dunwoody,D530,1
Dupain,D150,1
Duplock,D142,1
Dupny,D150,2
Durand,D653,1
Durant,D653,3
Durbar,D616,1
Durbidge,D613,1
Durbin,D615,2
Durbridge,D616,1
Durdy,D630,2
Dure,D600,1
Durey,D600,1
Durham,D650,6
Durie,D600,1
Durkan,D625,1
Durnford,D651,1
Durose,D620,2
Durrant,D653,9
Durston,D623,5
Dusse,D200,1
Dutch,D320,2
Dutchman,D325,1
Dutfield,D314,1
Dutnall,D354,1
Dutson,D325,1
Dutton,D350,15
Duty,D300,1
Duval,D140,1
Duvall,D140,1
Duxbury,D216,2
Duxfield,D214,1
Dwight,D230,1
Dwine,D500,1
Dwyer,D600,6
Dyar,D600,1
Dyche,D200,1
Dyckhoff,D210,1
Dye,D000,4
Dyer,D600,26
Dyett,D300,1
Dyke,D200,9
Dykes,D220,1
Dykins,D252,1
Dymock,D520,1
Dymott,D530,1
Dyn,D500,1
Dys,D200,1
Dyson,D250,19
Dytham,D350,1
Dzuibka,D212,1
Eacott,E230,2
Eade,E300,4
Eades,E320,3
Eadge,E320,1
Eadington,E352,1
Eady,E300,1
Eagan,E250,1
Eager,E260,1
Eagle,E240,4
Eagles,E242,3
Eaglestone,E242,1
Eagleton,E243,1
Eagling,E245,1
Eaglyn,E245,1
Eairy,E600,1
Ealam,E450,1
Eales,E420,3
Eamer,E560,1
Eames,E520,5
Eams,E520,1
Earby,E610,1
Earce,E620,2
Eardley,E634,3
Earl,E640,10
Earle,E640,6
Earles,E642,1
Earls,E642,1
Early,E640,3
Earney,E650,3
Earnshaw,E652,5
Earp,E610,3
Earwacker,E626,1
Earwaker,E626,1
Earwicker,E626,2
Easby,E210,1
Eason,E250,1
East,E230,9
Eastcott,E232,1
Easter,E236,4
Easterbrook,E236,1
Easterbrooke,E236,1
Easterby,E236,1
Eastgate,E232,2
Easthope,E231,1
Easthorpe,E236,1
Eastlake,E234,1
Eastman,E235,2
Eastment,E235,1
Eastmond,E235,1
Easto,E230,1
Easton,E235,4
Eastwell,E234,1
Eastwick,E232,1
Eastwood,E233,16
Easy,E200,1
Eaton,E350,20
Eatwell,E340,1
Eaude,E300,1
Eaves,E120,5
Ebelthite,E143,1
Eberlin,E164,1
Ebers,E162,1
Ebon,E150,1
Eborall,E164,1
Eborn,E165,2
Ebrey,E160,1
Ebrill,E164,1
Ebsworth,E126,1
Eburne,E165,1
Eccles,E242,8
Eccleshall,E242,1
Eccleston,E242,3
Ecclestone,E242,5
Eckels,E242,1
Eckersley,E262,9
Eckersly,E262,1
Eckford,E216,2
Edbury,E316,1
Eddels,E342,1
Edden,E350,2
Eddington,E352,1
Eddison,E325,3
Eddleston,E342,2
Edds,E320,1
Eddy,E300,5
Ede,E300,2
Edelston,E342,1
Eden,E350,9
Edgar,E326,2
Edgcock,E322,1
Edgcumbe,E325,1
Edge,E320,5
Edgecome,E322,1
Edgeley,E324,1
Edgeller,E324,1
Edger,E326,1
Edgerton,E326,1
Edges,E322,1
Ediker,E326,1
Edington,E352,2
Edis,E320,4
Edkins,E325,1
Edlin,E345,2
Edlington,E345,1
Edmead,E353,1
Edmond,E355,1
Edmonds,E355,18
Edmondson,E355,4
Edmonson,E355,3
Edmund,E355,2
Edmunds,E355,6
Edmundson,E355,3
Edney,E350,2
Edon,E350,1
Edser,E326,1
Edson,E325,2
Edward,E363,2
Edwardes,E363,1
Edwards,E363,168
Edwin,E350,1
Edworthy,E363,1
Eedle,E340,1
Eeles,E420,2
Eeroyd,E630,1
Egan,E250,5
Egbert,E216,1
Egcumbe,E251,1
Egdell,E234,1
Egerton,E263,4
Egg,E200,1
Eggington,E252,2
Egglesfield,E242,1
Eggleston,E242,1
Eggleton,E243,2
Eggs,E200,1
Eglbech?,E241,2
Eglin,E245,1
Eglinton,E245,1
Eilsly?,E424,1
Eke,E200,1
Ekey,E200,1
Ekin,E250,1
Ekins,E252,4
Elam,E450,1
Eland,E453,1
Elard,E463,1
Elbech,E412,1
Elcock,E422,3
Elder,E436,2
Elderfield,E436,2
Elderkin,E436,1
Eldershaw,E436,1
Elderton,E436,1
Eldred,E436,1
Eldridge,E436,6
Eleano,E450,1
Elener,E456,1
Elenor,E456,2
Eleson,E425,1
Eley,E400,5
Elford,E416,3
Elger,E426,1
Elgey,E420,1
Elgood,E423,1
Elias,E420,2
Eliot,E430,1
Eliott,E430,1
Elis,E420,1
Elisha,E420,1
Eliston,E423,1
Elkerton,E426,1
Elkin,E425,3
Elkington,E425,4
Elkins,E425,4
Elkinton,E425,1
Ell,E400,1
Ellaby,E410,1
Ellacott,E423,3
Ellam,E450,3
Ellams,E452,3
Ellar,E460,1
Ellaway,E400,1
Ellen,E450,1
Ellens,E452,1
Ellerby,E461,1
Ellerper,E461,1
Ellerton,E463,3
Ellery,E460,2
Elles,E420,1
Ellett,E430,2
Elley,E400,1
Ellicott,E423,1
Ellingham,E452,2
Ellington,E452,1
Elliot,E430,7
Elliott,E430,66
Ellis,E420,107
Ellison,E425,16
Ellor,E460,2
Ellory,E460,1
Ellott,E430,1
Ells,E420,1
Ellsay,E420,1
Ellsley,E424,1
Ellsom,E425,2
Ellson,E425,3
Ellwood,E430,3
Elmar,E456,1
Elmer,E456,3
Elmes,E452,1
Elms,E452,1
Elneor,E456,1
Elphick,E412,1
Elphinstone,E415,1
Elsam,E425,1
Elsbury,E421,1
Elsden,E423,2
Elsdon,E423,2
Else,E420,4
Elsemere,E425,1
Elsey,E420,2
Elson,E425,2
Elston,E423,3
Elstone,E423,1
Elsum,E425,1
Elsworth,E426,3
Elsworthy,E426,2
Elton,E435,4
Elvey,E410,1
Elvidge,E413,1
Elvin,E415,3
Elvy,E410,1
Elwell,E440,2
Elwen,E450,1
Elwes,E420,1
Elwood,E430,3
Ely,E400,2
Emanuel,E554,1
Emary,E560,1
Emberson,E516,1
Emberton,E516,2
Embery,E516,1
Emblen,E514,1
Embleton,E514,1
Emblin,E514,1
Embreton,E516,1
Embrey,E516,1
Embu?,E510,1
Embury,E516,2
Emeny,E550,1
Emerson,E562,6
Emerton,E563,1
Emery,E560,16
Emm,E500,2
Emmeny,E550,1
Emmerson,E562,6
Emmet,E530,1
Emmett,E530,8
Emmins,E552,1
Emmons,E552,1
Emmott,E530,4
Emms,E520,4
Emonson,E552,1
Empson,E512,2
Ems,E520,1
Emsley,E524,1
Endacott,E532,2
Endall,E534,2
Endean,E535,1
Endersley,E536,1
Endsworth,E532,1
Enefer,E516,1
England,E524,15
Englebright,E524,1
Engledon,E524,1
Englefield,E524,1
English,E524,6
Enness,E520,1
Ennew,E500,1
Ennis,E520,2
Ennor,E560,1
Enoch,E520,2
Ensor,E526,1
Entwisle,E532,3
Entwistle,E532,15
Eperr?,E160,1
Eplett,E143,2
Epps,E120,2
Epton,E135,1
Ereth,E630,2
Erith,E630,1
Erle,E640,1
Errett,E630,1
Erridge,E632,1
Errington,E652,4
Erswell,E624,1
Erwin,E650,2
Escoline,E245,1
Escott,E230,2
Eshelby,E241,2
Eskdale,E234,1
Eskrett,E263,1
Espener,E215,1
Espery,E216,1
Espison,E212,1
Espley,E214,1
Essant,E253,1
Essery,E260,1
Essoin,E250,1
Esterbrook,E236,1
Esther,E236,1
Estid,E233,1
Esturs,E236,1
Esworthy,E263,1
Etchells,E324,4
Etches,E322,1
Eteen,E350,1
Etheredge,E363,1
Etheridge,E363,2
Etherington,E365,4
Etherton,E363,2
Eto,E300,1
Etoe,E300,1
Etty,E300,1
Eudel,E340,1
Eursden,E623,1
Eustace,E232,4
Euston,E235,1
Evaney,E150,1
Evanny,E150,1
Evans,E152,308
Evanson,E152,3
Evatt,E130,1
Eve,E100,4
Eveleigh,E142,2
Evely,E140,1
Evenden,E153,3
Evenett,E153,1
Everall,E164,1
Everard,E166,4
Evered,E163,1
Everest,E162,1
Everett,E163,13
Everill,E164,1
Everingham,E165,2
Everitt,E163,6
Evers,E162,3
Eversfield,E162,1
Everson,E162,3
Everton,E163,2
Every,E160,1
Eves,E120,3
Evill,E140,1
