"AB_POSTCODE","AB_ADDRESS","UPRN","PARENT_UPRN","CLASS","CLASS_DESC"
"NE418EU","3 BLUEBELL CLOSE WYLAM",100110648142,NA,"RD02","Detached"
"NE418EY","10 DENE ROAD WYLAM",100110648191,NA,"RD02","Detached"
"NE418EY","12 DENE ROAD WYLAM",100110648193,NA,"RD02","Detached"
"NE418HB","61 DENE ROAD WYLAM",100110648230,NA,"RD02","Detached"
"NE437UU","YEW STEADING NEWTON B 6309 MOWDEN HALL CROSS ROADS TO WELTON STOCKSFIELD",10023734291,NA,"RD04","Terraced"
"NE437AL","A TO MOWDEN HALL CROSS ROADS STOCKSFIELD I U K AUTO INSPECTIONS UK LIMITED UNIT 4 BEARL FARM INDUSTRIAL UNITS B 6309 STOCKSFIELD",10023734305,10023734301,"CO01","Office / Work Studio"
"NE150PA","TYNE HOUSE HORSLEY NEWCASTLE UPON WATER TREATMENT WORKS WATER LANE HORSLEY TYNE",10024652382,10000020697,"CO01","Office / Work Studio"
"NE418BN","10 THOMAS CLOSE WYLAM",10093518977,NA,"RD02","Detached"
"NE418BA","LOCKE HOUSE HOLEYN HALL ROAD WYLAM",10093518988,NA,"RD02","Detached"
"NE426AZ","71 PIPER ROAD OVINGHAM PRUDHOE",10094012131,NA,"RD03","Semi-Detached"
"NE426QH","7 NORTH MEADOW MEADOWS OVINGHAM PRUDHOE",200000924121,NA,"RD02","Detached"
"NE418DP","FLAT 3 WYLAM MILL MAIN ROAD WYLAM",200000925124,200000925841,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE418DP","FLAT 5 WYLAM MILL MAIN ROAD WYLAM",200000925126,200000925841,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE418BH","OAKWOOD HALL C 257 HOLEYN HALL ROAD TO HEXHAM ROAD WYLAM",200000925130,NA,"RD02","Detached"
"NE426HJ","TYNEWOOD NORTH LODGE C 254 OVINGHAM TO WYLAM OVINGHAM PRUDHOE",200000923948,10000844253,"RD02","Detached"
"NE418ED","BYTHORNE FARM STEPHENSON TERRACE WYLAM",200000925134,NA,"RD02","Detached"
"NE150NT","ROSE COTTAGE B 6528 HORSLEY MAIN ROAD THROUGH VILLAGE HORSLEY NEWCASTLE UPON TYNE",200000925390,NA,"RD02","Detached"
"NE150AG","4 CASTLE VIEW HORSLEY NEWCASTLE UPON TYNE",10000020116,NA,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE437UL","3 TOFTS COTTAGES U 8194 NEWTON MAIN ROAD NEWTON STOCKSFIELD",10000843407,10014488500,"RD04","Terraced"
